Zone,District,m²,Lat,Long,Selected,Exclusion criteria,,
,,,,,,located less than 400 m apart from the closest selected rain garden,larger than 500 m²,gardens within the same district as other selected rain gardens
SUL,CAPELA DO SOCORRO,1033,-23.756291,-46.669355,Yes,,,
LESTE,GUAIANASES,485,-23.535497,-46.427349,Yes,,,
SUL,IPIRANGA,452.16,-23.611979,-46.604965,Yes,,,
SUL,CAPELA DO SOCORRO,450,-23.665497,-46.711996,Yes,,,
LESTE,ITAQUERA,286,-23.53787,-46.430718,Yes,,,
NORTE,SANTANA/ TUCURUVI,190,-23.502354,-46.6192,Yes,,,
SUL,CAPELA DO SOCORRO,138,-23.755421,-46.683204,Yes,,,
LESTE,ARICANDUVA,135,-23.568899,-46.537926,Yes,,,
NORTE,SANTANA/ TUCURUVI,130,-23.476585,-46.613457,Yes,,,
LESTE,MOOCA,115,-23.56934,-46.595338,Yes,,,
NORTE,FEREGUESIA DO Ó,100,-23.496825,-46.703962,Yes,,,
LESTE,PENHA,86,-23.521263,-46.508291,Yes,,,
LESTE,PENHA,83,-23.530671,-46.544031,Yes,,,
OESTE,LAPA,80,-23.531072,-46.695438,Yes,,,
OESTE,LAPA,80,-23.538379,-46.692084,Yes,,,
SUL,CAPELA DO SOCORRO,63,-23.671372,-46.721371,Yes,,,
NORTE,SANTANA/ TUCURUVI,60,-23.474383,-46.590011,Yes,,,
SUL,IPIRANGA,50,-23.616742,-46.610935,Yes,,,
LESTE,PENHA,50,-23.548275,-46.514574,Yes,,,
NORTE,PIRITUBA/ JARAGUÁ,50,-23.492018,-46.725152,Yes,,,
SUL,CAPELA DO SOCORRO,45,-23.720905,-46.682448,Yes,,,
SUL,CAPELA DO SOCORRO,42,-23.743112,-46.688108,Yes,,,
NORTE,CASA VERDE,41.85,-23.512174,-46.666483,Yes,,,
CENTRO,SÉ,40,-23.537722,-46.637043,Yes,,,
OESTE,PINHEIROS,38,-23.556547,-46.686662,Yes,,,
OESTE,BUTANTÃ,35,-23.573037,-46.720125,Yes,,,
LESTE,ERMELINO MATARAZZO,32,-23.489201,-46.479424,Yes,,,
OESTE,LAPA,28,-23.537781,-46.699824,Yes,,,
LESTE,VILA PRUDENTE,16,-23.600735,-46.539229,Yes,,,
NORTE,VILA MARIA/ VILA GUILHERME,10,-23.502672,-46.578322,Yes,,,
CENTRO,SÉ,2300,-23.551935,-46.665612,No,x,,
CENTRO,SÉ,1800,-23.556532,-46.651182,No,,x,
CENTRO,SÉ,1000,-23.545394,-46.667931,No,x,,
CENTRO,SÉ,950,-23.55654,-46.633574,No,,x,
CENTRO,SÉ,800,-23.534017,-46.626088,No,x,,
CENTRO,SÉ,800,-23.552257,-46.627394,No,x,,
SUL,CAPELA DO SOCORRO,688.71,-23.714375,-46.708199,No,,x,
CENTRO,SÉ,640,-23.555867,-46.666125,No,,x,
CENTRO,SÉ,614,-23.53231,-46.625985,No,x,,
CENTRO,SÉ,600,-23.551286,-46.626117,No,x,,
CENTRO,SÉ,550,-23.550921,-46.625184,No,x,,
CENTRO,SÉ,500,-23.554271,-46.625608,No,x,,
CENTRO,SÉ,500,-23.577413,-46.629094,No,,x,
CENTRO,SÉ,450,-23.535326,-46.644444,No,x,,
CENTRO,SÉ,436,-23.549592,-46.664149,No,x,,
CENTRO,SÉ,400,-23.560642,-46.64589,No,,,x
NORTE,CASA VERDE,400,-23.50413,-46.681812,No,,,x
CENTRO,SÉ,360,-23.546557,-46.666313,No,x,,
CENTRO,SÉ,340,-23.534977,-46.643764,No,x,,
CENTRO,SÉ,300,-23.533826,-46.626828,No,x,,
CENTRO,SÉ,253,-23.521357,-46.640654,No,,,x
CENTRO,SÉ,250,-23.545365,-46.626423,No,,,x
NORTE,VILA MARIA/ VILA GUILHERME,250,-23.520012,-46.603373,No,,,x
CENTRO,SÉ,242,-23.546314,-46.645154,No,x,,
LESTE,PENHA,224,-23.518456,-46.548505,No,,,x
SUL,CAPELA DO SOCORRO,220,-23.754732,-46.687631,No,,,x
CENTRO,SÉ,200,-23.548007,-46.64304,No,x,,
CENTRO,SÉ,200,-23.547988,-46.643076,No,x,,
CENTRO,SÉ,200,-23.573879,-46.630715,No,,,x
NORTE,FEREGUESIA DO Ó,200,-23.489151,-46.688345,No,,,x
CENTRO,SÉ,194,-23.548075,-46.642863,No,x,,
CENTRO,SÉ,190,-23.542527,-46.664119,No,x,,
LESTE,SAPOPEMBA,182,-23.604664,-46.510481,No,,,x
OESTE,LAPA,143,-23.539563,-46.681579,No,,,x
LESTE,VILA PRUDENTE,131,-23.59104,-46.568611,No,x,,
LESTE,PENHA,126,-23.529855,-46.510194,No,,,x
CENTRO,SÉ,120,-23.550221,-46.638905,No,x,,
LESTE,VILA PRUDENTE,112,-23.604858,-46.558842,No,,,x
CENTRO,SÉ,101,-23.52626,-46.641609,No,,,x
CENTRO,SÉ,100,-23.549271,-46.646264,No,x,,
CENTRO,SÉ,100,-23.534001,-46.651994,No,,,x
LESTE,VILA PRUDENTE,97.5,-23.588938,-46.571638,No,x,,
CENTRO,SÉ,90,-23.559717,-46.62949,No,,,x
CENTRO,SÉ,80,-23.551997,-46.647479,No,x,,
CENTRO,SÉ,80,-23.529962,-46.638489,No,,,x
NORTE,SANTANA/ TUCURUVI,80,-23.485657,-46.620916,No,,,x
NORTE,SANTANA/ TUCURUVI,80,-23.513984,-46.626266,No,,,x
OESTE,LAPA,79,-23.530958,-46.695462,No,x,,
OESTE,LAPA,79,-23.53093,-46.695593,No,x,,
OESTE,LAPA,79,-23.531108,-46.695594,No,x,,
CENTRO,SÉ,70,-23.54773,-46.64006,No,x,,
CENTRO,SÉ,70,-23.563242,-46.620355,No,,,x
CENTRO,SÉ,65,-23.539958,-46.66351,No,x,,
CENTRO,SÉ,60,-23.538298,-46.647779,No,,,x
CENTRO,SÉ,60,-23.562846,-46.639548,No,,,x
LESTE,VILA PRUDENTE,58.65,-23.600589,-46.539218,No,x,,
SUL,CAPELA DO SOCORRO,52,-23.684522,-46.708485,No,,,x
NORTE,SANTANA/ TUCURUVI,50,-23.477911,-46.619539,No,,,x
LESTE,PENHA,49,-23.536639,-46.48354,No,,,x
CENTRO,SÉ,45,-23.568869,-46.631589,No,,,x
LESTE,ERMELINO MATARAZZO,44,-23.489193,-46.479509,No,x,,
SUL,CAPELA DO SOCORRO,42,-23.755391,-46.683493,No,x,,
CENTRO,SÉ,40,-23.569552,-46.620757,No,x,,
CENTRO,SÉ,40,-23.570759,-46.621006,No,x,,
CENTRO,SÉ,40,-23.566866,-46.620212,No,x,,
CENTRO,SÉ,40,-23.568084,-46.620462,No,x,,
CENTRO,SÉ,40,-23.572078,-46.621286,No,x,,
NORTE,SANTANA/ TUCURUVI,40,-23.475389,-46.631528,No,,,x
NORTE,SANTANA/ TUCURUVI,40,-23.47262,-46.62619,No,,,x
NORTE,SANTANA/ TUCURUVI,40,-23.506884,-46.669976,No,,,x
OESTE,PINHEIROS,39,-23.543666,-46.700542,No,x,,
SUL,CAMPO LIMPO,39,-23.642324,-46.781664,No,,,x
NORTE,SANTANA/ TUCURUVI,35,-23.475072,-46.59541,No,,,x
NORTE,SANTANA/ TUCURUVI,35,-23.492776,-46.629677,No,,,x
LESTE,CIDADE TIRADENTES,35,-23.565695,-46.41586,No,,,x
NORTE,SANTANA/ TUCURUVI,30,-23.468783,-46.61406,No,,,x
OESTE,PINHEIROS,29,-23.543753,-46.700642,No,x,,
LESTE,ERMELINO MATARAZZO,26,-23.489071,-46.479487,No,x,,
SUL,IPIRANGA,25,-23.612719,-46.617566,No,,,x
LESTE,CIDADE TIRADENTES,22,-23.600117,-46.400309,No,,,x
LESTE,VILA PRUDENTE,21,-23.590995,-46.56875,No,x,,
CENTRO,SÉ,20,-23.54854,-46.64266,No,x,,
OESTE,PINHEIROS,19,-23.556547,-46.686662,No,x,,
LESTE,CIDADE TIRADENTES,18,-23.584006,-46.408949,No,,,x
SUL,VILA MARIANA,16.9,-23.626789,-46.634802,No,x,,
NORTE,SANTANA/ TUCURUVI,15,-23.489149,-46.612471,No,,,x
LESTE,SÃO MIGUEL PAULISTA,14.15,-23.484596,-46.395131,No,,,x
OESTE,PINHEIROS,14,-23.543788,-46.700472,No,x,,
SUL,VILA MARIANA,12.8,-23.627085,-46.636332,No,x,,
LESTE,SÃO MIGUEL PAULISTA,12.5,-23.487926,-46.448609,No,,,x
SUL,VILA MARIANA,11,-23.590728,-46.667933,No,x,,
SUL,VILA MARIANA,8,-23.590197,-46.669353,No,x,,
SUL,VILA MARIANA,8,-23.590446,-46.669279,No,x,,
SUL,VILA MARIANA,7.8,-23.627161,-46.636464,No,x,,
SUL,VILA MARIANA,6.8,-23.626799,-46.635003,No,x,,
SUL,VILA MARIANA,6.7,-23.583875,-46.639356,No,,,x
SUL,VILA MARIANA,6.3,-23.619167,-46.640464,No,x,,
SUL,VILA MARIANA,6.3,-23.619246,-46.640421,No,x,,
SUL,VILA MARIANA,6,-23.590947,-46.667689,No,x,,
SUL,VILA MARIANA,6,-23.590405,-46.66889,No,x,,
SUL,VILA MARIANA,5.5,-23.627073,-46.63594,No,x,,
SUL,VILA MARIANA,4.5,-23.627135,-46.63636,No,x,,
SUL,VILA MARIANA,4,-23.591038,-46.667475,No,x,,
SUL,VILA MARIANA,4,-23.594388,-46.668518,No,x,,
